title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Nancy Shippentower-Games, interview","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-06_interview","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","644","tchp644","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/644","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/644","erika-b.github.io/tchp_dev/items/tchp644.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-06_bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","645","tchp645","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/645","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/645.pdf","erika-b.github.io/tchp_dev/items/tchp645.html"
"Still Fighting after All These Years: A Puyallup Tribal Member&#39;s Perspective","Nancy Shippentower-Games is a member of the Puyallup Tribe in Washington State. Nancy&#39;s parents are Donald and Janet McCloud. She has seven siblings and grew up on the banks of the Nisqually River and Puyallup Rivers and currently resides in Yelm, Washington. Nancy grew up during the fishing wars that took place on both the Nisqually and Puyallup Rivers. Her mother Janet McCloud and her uncle, Billy Frank Jr., were very active advocates during the battle over salmon. She remembers vividly the violence, racism and injustices that she and her people suffered as they fought for what was rightfully theirs. By revisiting the circumstances and propositions set forth in the Medicine Creek Treaty of 1854, a better understanding of what the Puyallup and Nisqually tribes have been fighting for comes into focus. While the Boldt Decision of 1974 was a turning point for Northwest Tribes, concerns such as climate change, overpopulation, and proposals such as the LNG plant in Tacoma continue to put the salmon runs at risk.","","","2017","","","","","xyz","","","University of Washington Tacoma Community History Project","","chp2017-06","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","","cpd","","","646","tchp646","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/646","","erika-b.github.io/tchp_dev/items/tchp646.html"
"Philip H. Red Eagle, portrait","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-07_portrait","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","647","tchp647","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/647","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/647/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp647.html"
"Jordan Woolston, essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-07_essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","648","tchp648","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/648","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/648.pdf","erika-b.github.io/tchp_dev/items/tchp648.html"
"Philip H. Red Eagle, transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-07_transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","649","tchp649","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/649","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/649.pdf","erika-b.github.io/tchp_dev/items/tchp649.html"
"Philip H. Red Eagle, interview 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-07_interview_1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","650","tchp650","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/650","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/650","erika-b.github.io/tchp_dev/items/tchp650.html"
"Philip H. Red Eagle, interview 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-07_interview_2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","651","tchp651","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/651","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/651","erika-b.github.io/tchp_dev/items/tchp651.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-07_bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","652","tchp652","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/652","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/652.pdf","erika-b.github.io/tchp_dev/items/tchp652.html"
"Philip H. Red Eagle","Philip H. Red Eagle was born in 1945 in Tacoma, Washington. His mother, Marian Steilacoom, of Salish decent, was born near Port Angeles, Washington. Philip&#39;s father, Philip Red Eagle, a member of the Dakota Tribe, was born near the Missouri River on the Fort Peck Indian Reservation in Montana. Phillip spent the first fourteen years of his life in Tacoma, attending Stanley and McCarver schools before moving to Sitka, Alaska with his family in 1959. Philip joined the Navy shortly after graduating from high school, serving in Vietnam for five years from 1969-1973. After Vietnam, Philip returned to Washington and began undergraduate studies at the University of Washington where he earned two bachelor&#39;s degrees. The return to civilian life after the war affected Philip and he struggled with PTSD and related issues like depression and insomnia. Philip found that art, writing, and taking part in the revival of his culture helped him confront his PTSD and over the last 30 years Philip has contributed greatly to the revival and expansion of Indigenous culture in the Pacific Northwest.","","","2017","","","","","xyz","","","University of Washington Tacoma Community History Project","","chp2017-07","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","","cpd","","","653","tchp653","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/653","","erika-b.github.io/tchp_dev/items/tchp653.html"
"Bruce Arneklev, portrait","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-05_portrait","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","image/jpg","","","654","tchp654","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/654","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/654/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp654.html"
"Alyssa Urish, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-05_essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","655","tchp655","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/655","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/655.pdf","erika-b.github.io/tchp_dev/items/tchp655.html"
"Bruce Arneklev, transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-05_transcript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","656","tchp656","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/656","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/656.pdf","erika-b.github.io/tchp_dev/items/tchp656.html"
"Bruce Arneklev, interview 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-05_interview_1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","657","tchp657","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/657","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/657","erika-b.github.io/tchp_dev/items/tchp657.html"
"Bruce Arneklev, interview 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-05_interview_2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","658","tchp658","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/658","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/658","erika-b.github.io/tchp_dev/items/tchp658.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp2017-05_bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","text","application/pdf","","","659","tchp659","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/659","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/659.pdf","erika-b.github.io/tchp_dev/items/tchp659.html"
